Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970
AFG,2,Afghanistan,2908,Sugar Crops,5521,Feed,1000 tonnes,33.94,67.71,45,45,45,45,31,30,42,61,62,24
AFG,2,Afghanistan,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,33.94,67.71,47,43,45,54,58,61,65,68,57,76
AFG,2,Afghanistan,2911,Pulses,5521,Feed,1000 tonnes,33.94,67.71,1,1,1,1,1,1,2,1,1,1
AFG,2,Afghanistan,2911,Pulses,5142,Food,1000 tonnes,33.94,67.71,15,16,17,18,18,20,26,21,22,23
AFG,2,Afghanistan,2912,Treenuts,5142,Food,1000 tonnes,33.94,67.71,2,3,1,1,2,2,1,1,0,3
AFG,2,Afghanistan,2913,Oilcrops,5142,Food,1000 tonnes,33.94,67.71,10,10,10,10,10,11,11,11,11,11
AFG,2,Afghanistan,2914,Vegetable Oils,5142,Food,1000 tonnes,33.94,67.71,10,12,15,13,13,13,14,12,13,16
AFG,2,Afghanistan,2918,Vegetables,5142,Food,1000 tonnes,33.94,67.71,329,343,363,383,399,404,437,448,458,424
AFG,2,Afghanistan,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,33.94,67.71,368,347,357,457,476,462,559,585,594,562
AFG,2,Afghanistan,2922,Stimulants,5142,Food,1000 tonnes,33.94,67.71,4,6,5,6,5,11,8,12,15,12
AFG,2,Afghanistan,2923,Spices,5142,Food,1000 tonnes,33.94,67.71,3,3,4,4,4,5,3,3,3,4
AFG,2,Afghanistan,2924,Alcoholic Beverages,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2943,Meat,5142,Food,1000 tonnes,33.94,67.71,129,132,139,144,150,175,184,202,202,189
AFG,2,Afghanistan,2945,Offals,5142,Food,1000 tonnes,33.94,67.71,26,27,28,29,30,36,37,41,41,41
AFG,2,Afghanistan,2946,Animal fats,5142,Food,1000 tonnes,33.94,67.71,20,20,21,22,24,25,27,29,29,27
AFG,2,Afghanistan,2949,Eggs,5142,Food,1000 tonnes,33.94,67.71,8,9,10,10,11,11,13,12,13,11
AFG,2,Afghanistan,2948,Milk - Excluding Butter,5521,Feed,1000 tonnes,33.94,67.71,28,28,32,32,36,40,44,47,47,40
AFG,2,Afghanistan,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,33.94,67.71,531,535,597,611,670,695,752,787,795,690
AFG,2,Afghanistan,2960,"Fish, Seafood",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
AFG,2,Afghanistan,2928,Miscellaneous,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2511,Wheat and products,5521,Feed,1000 tonnes,41.15,20.17,10,18,15,15,15,14,13,14,16,14
ALB,3,Albania,2511,Wheat and products,5142,Food,1000 tonnes,41.15,20.17,166,174,166,176,193,190,193,217,232,228
ALB,3,Albania,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,41.15,20.17,2,3,5,5,6,6,7,7,8,9
ALB,3,Albania,2513,Barley and products,5521,Feed,1000 tonnes,41.15,20.17,2,0,1,1,1,1,2,0,0,2
ALB,3,Albania,2513,Barley and products,5142,Food,1000 tonnes,41.15,20.17,2,2,2,2,2,2,3,2,2,2
ALB,3,Albania,2514,Maize and products,5521,Feed,1000 tonnes,41.15,20.17,7,6,24,4,4,36,45,43,6,20
